rssi(signal),,Location
-68,,location1
-67,,location1
-69,,location1
-66,,location1
-67,,location2
-69,,location2
-64,,location2
-63,,location2
-58,,location3
-59,,location3
-60,,location3
-57,,location3
-48,,location4
-47,,location4
-44,,location4
-51,,location4
-56,,location5
-57,,location5
-51,,location5
-54,,location5
-54,,location6
-55,,location6
-53,,location6
-55,,location6
-70,,location7
-76,,location7
-77,,location7
-72,,location7
-64,,location8
-68,,location8
-69,,location8
-70,,location8
-77,,location9
-75,,location9
-76,,location9
-74,,location9
-75,,location10
-76,,location10
-70,,location10
-74,,location10
-75,,location11
-77,,location11
-76,,location11
-75,,location11
-86,,location12
-87,,location12
-82,,location12
-81,,location12
-81,,location13
-83,,location13
-89,,location13
-87,,location13
